Applicant,LocationDescription,Address,Photo,FoodItems,Latitude,Longitude,Schedule,Location
Park's Catering,PHELPS ST: FAIRFAX AVE to SAM JORDANS WAY (500 - 599),525 PHELPS ST,,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,37.74176065,-122.389098,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00115&ExportPDF=1&Filename=21MFF-00115_schedule.pdf,"(37.74176064966551, -122.3890979701946)"
Park's Catering,MISSISSIPPI ST: START: 1200-1299 BLOCK to CESAR CHAVEZ ST (1200 - 1299),1200 MISSISSIPPI ST,,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,37.75169104,-122.3943742,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00115&ExportPDF=1&Filename=21MFF-00115_schedule.pdf,"(37.75169103572294, -122.3943742132628)"
Truly Food & More,SANSOME ST: PINE ST to CALIFORNIA ST (200 - 299),217 SANSOME ST,,Latin Food: Tacos: Pupusas: Vegetables: Salad: Waters: Sodas,37.79238986,-122.4012697,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=22MFF-00019&ExportPDF=1&Filename=22MFF-00019_schedule.pdf,"(37.79238986198323, -122.40126969523558)"
Natan's Catering,KANSAS ST: 16TH ST to 17TH ST (300 - 399),350 KANSAS ST,,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.76537067,-122.4039078,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,"(37.76537066931712, -122.40390784821223)"
Natan's Catering,MARIN ST: START: 800-949 BLOCK to MICHIGAN ST (800 - 899),888 MARIN ST,,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.74945833,-122.3850813,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,"(37.74945832902701, -122.38508133967831)"
Natan's Catering,25TH ST: MARYLAND ST to MICHIGAN ST (400 - 699),Assessors Block 4241/Lot002,,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.75334,-122.3841284,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,"(37.75334000118106, -122.38412838423727)"
Natan's Catering,CESAR CHAVEZ ST: 03RD ST to TENNESSEE ST (1000 - 1099),Assessors Block 4315/Lot03008,,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,"(0.0, 0.0)"
Natan's Catering,EVANS AVE: RANKIN ST to SELBY ST (1800 - 1890),1801 EVANS AVE,,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.7445912,-122.3930769,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,"(37.74459119509166, -122.39307688085802)"
Natan's Catering,CONNECTICUT ST: 17TH ST to MARIPOSA ST (100 - 199),146 CONNECTICUT ST,,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.7644473,-122.3979874,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,"(37.764447295561894, -122.397987371508)"
Natan's Catering,EVANS AVE: NAPOLEON ST \ TOLAND ST to MARIN ST (2000 - 2099),2045 EVANS AVE,,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.74777209,-122.3970317,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,"(37.747772091607466, -122.39703171897757)"
Natan's Catering,HARRISON ST: MERLIN ST to OAK GROVE ST (924 - 950),950 HARRISON ST,,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.77838862,-122.4031918,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,"(37.778388615786554, -122.40319178322909)"
San Francisco's Hometown Creamery,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),425 CALIFORNIA ST,,Ice Cream: Waffle Cones,37.79279574,-122.4013533,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00121&ExportPDF=1&Filename=21MFF-00121_schedule.pdf,"(37.79279574157871, -122.40135328093122)"
Natan's Catering,ALEMANY BLVD: FOLSOM ST to ELLSWORTH ST \ I-280 S OFF RAMP \ I-280 S ON RAMP (400 - 498) -- NORTH --,400 ALEMANY BLVD,,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.7331424,-122.4145686,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,"(37.73314239514255, -122.41456863241858)"
Natan's Catering,ILLINOIS ST: 25TH ST to ILLINOIS ST (1500 - 1599),Assessors Block 4296/Lot010,,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.75240499,-122.3870002,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,"(37.75240499247832, -122.38700019629786)"
San Francisco's Hometown Creamery,PINE ST: SANSOME ST to CENTURY PL (300 - 340),301 PINE ST,,Ice cream & Waffle cones,37.79183426,-122.4012796,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00122&ExportPDF=1&Filename=21MFF-00122_schedule.pdf,"(37.79183426305553, -122.40127961659626)"
Natan's Catering,,Assessors Block 4103/Lot023A,,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.7583034,-122.3935141,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,"(37.758303395642486, -122.39351405481675)"
Natan's Catering,17TH ST: MISSION ST to HOFF ST (3300 - 3343),3335 17TH ST,,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.76315639,-122.4203222,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,"(37.76315639322651, -122.42032223152648)"
Natan's Catering,,Assessors Block 5369/Lot003,,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.73811777,-122.4044185,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,"(37.73811777159187, -122.40441846721173)"
Natan's Catering,,Assessors Block 7295/Lot022,,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.73000368,-122.4781863,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,"(37.730003683189196, -122.4781863254146)"
Natan's Catering,,Assessors Block 4172/Lot010,,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.75712456,-122.3885295,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,"(37.75712456038606, -122.3885295152567)"
Natan's Catering,07TH ST: HOOPER ST to IRWIN ST (1100 - 1199),1140 07TH ST,,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.76824939,-122.3984307,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,"(37.7682493867935, -122.39843065021364)"
Natan's Catering,MENDELL ST: CARGO WAY to NEWHALL ST (1 - 199),151 MENDELL ST,,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks,37.74282023,-122.3828474,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=21MFF-00118&ExportPDF=1&Filename=21MFF-00118_schedule.pdf,"(37.742820234675946, -122.38284735551785)"
